#,WORD,WORD TYPE,DERIVATIVES,DEFINITION,THESAURUS,SAMPLE SENTENCE
177,Intervene,"['Verb']","{'Intervenor':'(noun)','Intervenient':'(adjective)'}","To come between people, or an event and change what is happening","{'':['Occur','Happen','Arise','Intercede','Mediate','Interrupt']}","When the toddlers couldn't share their toys, their mothers had to ``intervene`."
178,Intrepid,"['Adjective']","{'Intrepidity':'(noun)','Intrepidness':'(noun)','Intrepidly':'(adverb)'}","Fearless","{'':['Unafraid','Undaunted','Unflinching','Bold','Daring','Gallant']}","The ``intrepid` mountain climber reached the top of Mt.Everest."
179,Intricate,"['Adjective']","{'Intricately':'(adverb)'}","Highly detailed","{'':['Complex','Complicated','Elaborate','Ornate','Delicate']}","The pattern on this blanket is so ``intricate`."
180,Invasive,"['Adjective']",None,"Intrusive","{'':['Intrude']}","We found the stranger's questions too personal and very ``invasive`."
181,Investigate,"['Verb']","{'Investigator':'(noun)','Investigatory':'(adjective)'}","To examine or study","{'':['Probe','Explore','Research','Analyze']}","The police are going to ``investigate` the crime scene."
182,Irascible,"['Adjective']","{'Irascibility':'(noun)','Irascibly':'(adverb)'}","Easy to anger","{'':['Quick-tempered','Short-tempered','Touchy','Grouchy','Grumpy']}","Even though my grandfather seems ``irascible`, he's actually very loving."
183,Irony,"['Noun']","{'Irony':'(noun) - of or like iron - an irony gray color'}","The use of words to give a meaning opposite to their literal meaning","{'':['Sarcasm','Cynicism','Mockery','Paradox']}","'I love linear algebra,' he said with ``irony`."
184,Irresolute,"['Adjective']","{'Irresolutely':'(adverb)','Irresoluteness':'(noun)'}","Uncertain","{'':['Indecisive','Hesitant','Wavering','Torn','Blowing hot and cold']}","Not sure which direction to go in, he stood ``irresolute`."
185,Jargon,"['Noun']","{'Jargonistic':'(adjective)','Jargonize':'(verb)'}","Words specific to a certain job or group","{'':['Specialized language','Slang','Idiom','Doublespeak']}","To be a successful engineer, you'll need to learn a lot of technical ``jargon`."
186,Jointly,"['Adverb']",None,"Together","{'':['In partnership','In cooperation','In conjunction','Cooperatively','As one']}","The newlyweds ``jointly` bought a house."
187,Knack,"['Noun']",None,"A special talent or skill","{'':['Gift','Flair','Instinct','Ability','Forte']}","My Chinese friend has a great ``knack` for solving technical problems."
188,Labor,"['Noun']","{'To work hard':'(verb)'}","Work or effort","{'Noun':['Hard work','Toil','Exertion','Job','Chore','Assignment'],'Verb':['Work hard','Toil','Slave (away)','Exert oneself','Work like a dog','Strive','Struggle']}","Building a house requires a lot of ``labor`."
189,Lag,"['Verb']","{'Lagged':'(verb)','Lagging':'(verb)','Lagger':'(noun)'}","To fall behind","{'':['Straggle','Fall back','Trail behind','Dilly dally']}","I stayed with the front group of runners for the first few miles, but after that I began to ``lag` behind."
190,Lampoon,"['Verb']","{'Lampooner':'(noun)','Lampoonist':'(noun)'}","To mock or ridicule","{'':['Satirize','Make fun of','Roast','Tease']}","The cartoonist ``lampooned` President Trump's tweet. (or his hair, speech, behavior, intelligence, etc)"
191,Languish,"['Verb']","{'Languishingly':'(adverb)','Languishment':'(noun)'}","To become weak; to be neglected","{'':['Deteriorate','Decline','Wither','Waste away','Rot']}","During spring break, my plants ``languished` since I was traveling the world and couldn't water them."
192,Lecture,"['Noun']",None,"A talk given to an audience","{'':['Speech','Presentation','Oration','Lesson']}","TED TALKS are interesting, informative ``lectures`."
193,Leery,"['Adjective']","{'Leeriness':'(noun)'}","Wary","{'':['Cautious','Careful','Guarded','Hesitant']}","I'm ``leery` of taking the dark-looking shortcut."
194,Legitimate,"['Adjective']","{'Legitimacy':'(noun)','Legitimately':'(adverb)','Legitimatize':'(verb)'}","Lawful","{'':['Legal','Authorized','Permitted','Valid','Sound','Sanctioned']}","The way he became mayor is ``legitimate`."
195,Lenient,"['Adjective']","{'Lenience':'(noun)','Leniency':'(noun)','Leniently':'(adverb)'}","Merciful; less harsh","{'':['Forgiving','Forbearing','Tolerant','Humane','Easy-going']}","The judge gave the criminal a ``lenient` sentence due to his bad childhood."
196,Likely,"['Adjective']","{'Likeliness':'(noun)'}","Probable","{'':['Distinctly possible','To be expected','Possible','Plausible','Predictable']}","I don't have much homework, so it's ``likely` I'll be able to go out to dinner with Joe."
197,Ludicrous,"['Adjective']","{'Ludicrously':'(adverb)','Ludicrousness':'(noun)'}","Ridiculous","{'':['So foolish','Laughable','Preposterous','Idiotic','Asinine']}","It's ``ludicrous` to say 'President' before the word Trump."
198,Maintain,"['Verb']","{'Maintainability':'(noun)','Maintainable':'(adjective)'}","To continue at the same level","{'':['Preserve','Keep','Retain','Sustain','Carry on']}","She has ``maintained` the same weight since high school."
199,Major,"['Adjective']",None,"Very important","{'':['Serious','Significant','Best','Finest','Foremost','Outstanding','Prime','Leading']}","Writing is a ``major` skill for English proficiency."
200,Manipulate,"['Verb']","{'Manipulable':'(adjective)','Manipulation':'(noun)','Manipulator':'(noun)'}","To influence, especially in an unfair way","{'':['Rig','Distort','Alter','Change','Doctor','Tamper with']}","Russia tried to ``manipulate` the results of the American election."
201,Maximize,"['Verb']","{'Maximization':'(noun)'}","To increase to the greatest possible size",None,"Your goal, along with learning, is to ``maximize` your GPA."
202,Measure,"['Verb']",None,"To find the size and dimensions of something","{'':['Calculate','Compute','Count','Quantify','Assess','Gauge','Determine']}","By ``measuring` his gut, we can conclude that he drinks too much beer."
203,Mediocre,"['Adjective']",None,"Ordinary, average","{'':['Middle-of-the-road','Uninspired','Run-of-the-mill','OK','Plain-vanilla']}","The meals at the cafeteria are ``mediocre`."
204,Mend,"['Verb']","{'Mendable':'(adjective)'}","To fix","{'':['Repair','Put back together','Piece together','Sew']}","My mom will ``mend` the hole in my pants."
205,Method,"['Noun']",None,"A way of doing something","{'':['Procedure','Technique','System','Routine']}","The Japanese ``method` of communicating is indirect."
206,Migrate,"['Verb']","{'Migration':'(noun)','Migratory':'(adjective)'}","To move from one place to another","{'':['Relocate','Resettle','Move','Travel around']}","Many Chinese laborers ``migrate` to Shenzhen."
207,Minimum,"['Noun']",None,"The smallest of lowest amount possible","{'':['Bottom level','Rock bottom','Lowest (level)']}","You need to get a ``minimum` of 60% to pass English."
208,Misleading,"['Adjective']","{'Mislead':'(verb)'}","Giving the wrong idea","{'':['Deceptive','Confusing','Deceiving']}","The data is ``misleading` since it omits essential facts."
209,Modify,"['Verb']","{'Modifiable':'(adjective)'}","To change","{'':['Alter','Adjust','Adapt']}","Joe needs to ``modify` his class and make it more rigorous."
210,Morose,"['Adjective']","{'Morosely':'(adverb)'}","Gloomy, depressed","{'':['Melancholy','Miserable','Moody']}","The boy was ``morose` after the girl refused to go to the movies with him."
211,Negligent,"['Adjective']","{'Negligently':'(adverb)'}","Lazy, neglectful","{'':['Careless','Lax','Irresponsible']}","The ``negligent` student went to the game center (net bar) instead of the library."
212,Nonchalant,"['Adjective']","{'Nonchalantly':'(adverb)'}","Indifferent, unexcited","{'':['Calm','Composed','Cool','Cool as a cucumber']}","The girl was so ``nonchalant` when the boy asked her to marry him."
213,Obey,"['Verb']",None,"To follow orders or instructions","{'':['Submit to','Bow to','Carry out someone\\'s orders']}","My dogs ``obeys` me when I ask her to sit."
214,Obtain,"['Verb']","{'Obtainable':'(adjective)'}","To get","{'':['Acquire','Procure','Secure','Come into the possession of']}","You should ``obtain` your passport so you can travel to the US."
215,Obvious,"['Adjective']","{'Obviously':'(adverb)'}","Easily understood","{'':['Clear','Crystal clear','As clear as day','Plain','Plain to see','Beyond doubt','Beyond question','Staring someone in the face','As plain as the nose on one\\'s face']}","It is ``obvious` what Joe thinks of Donald Trump."
216,Opponent,"['Noun']",None,"Someone on the opposite side for a game or contest","{'':['Rival','Adversary','Competitor','Contender','Challenger']}","The soccer player blocked her ``opponent's` shot at the goal."
217,Oppress,"['Verb']","{'Oppressor':'(noun)'}","To unfairly burden","{'':['Maltreat','Ill-treat','Keep down','Grind down','Rule with an iron fist']}","The government has ``oppressed` the people by keeping them in poverty."
218,Origin,"['Noun']",None,"The source; where something began","{'':['Beginning','Start','Commencement','Genesis','Birth','Dawning']}","The explorers are trying to find the ``origin` of the Nile river."
